"024 Pharma, Inc. provides healthcare products worldwide.",0 15
"The company was formerly known as B Green Innovations, Inc. and changed its name to 024 Pharma, Inc. in October 2016. ",34 58 84 99
"024 Pharma, Inc. was incorporated in 2004 and is based in West Palm Beach, Florida.",0 15
"1-800-Flowers.com, Inc., together with its subsidiaries, provides gourmet food and floral gifts for various occasions in the United States.",0 22
"1-800-FLOWERS.COM, Inc. was founded in 1976 and is headquartered in Carle Place, New York.",0 22
"12 Retech Corporation, through its subsidiaries, operates an integrated retail platform in Asia, North America, and Europe. ",0 21
"12 Retech Corporation is based in Carson City, Nevada.",0 21
"1347 Property Insurance Holdings, Inc., through its subsidiaries, provides property and casualty insurance products to individuals in Louisiana, Florida, and Texas.",0 37
"The company was formerly known as Maison Insurance Holdings, Inc. and changed its name to 1347 Property Insurance Holdings, Inc. in March 2014.",34 64 90 127
"1347 Property Insurance Holdings, Inc. was founded in 2012 and is based in Tampa, Florida.",0 37
"1847 Holdings LLC, through its subsidiaries, provides a range of products and services for agriculture, construction, lawn, and garden industries in North America",0 17
1847 Partners LLC serves as the manager of the company. ,0 17
"1847 Holdings LLC was founded in 2013 and is based in New York, New York.",0 17
"1867 Western Financial Corporation, through its subsidiaries, offers personal and business banking services",0 34
1mage Software Inc operates in the technology industry.,0 18
"1PM Industries, Inc. provides consulting services to companies in various industries transform from a private company to a public company.",0 19
"1st Colonial Bancorp, Inc. operates as the bank holding company for 1st Colonial Community Bank that provides a range of business and consumer financial services in New Jersey.",0 25
"1st Colonial Bancorp, Inc. was founded in 2000 and is headquartered in Collingswood, New Jersey.",0 25
1st Constitution Bancorp operates as the bank holding company for 1st Constitution Bank that provides commercial and retail banking services in the central and northeastern New Jersey areas.,0 24
" 1st Constitution Bancorp was founded in 1989 and is based in Cranbury, New Jersey.",0 25
"1st NRG Corp. explores, develops, produces, and sells natural gas properties in the United States.",0 12
1st Prestige Wealth Management provides wealth management products and services in the United States.,0 30
"The company was formerly known as Power Technology, Inc. and changed its name to 1st Prestige Wealth Management in July 2014.",34  55 81 111
"1st Prestige Wealth Management is based in Henderson, Nevada.",0 30
"1st Source Corporation operates as the bank holding company for 1st Source Bank that provides commercial and consumer banking services, trust and investment management services, and insurance to individual and business clients.",0 22 64 79
" 1st Source Corporation was founded in 1863 and is headquartered in South Bend, Indiana.",0 22
"1ST SUMMIT BANCORP of Johnstown, Inc. operates as the holding company for 1ST SUMMIT BANK that provides various banking products and services to consumer, corporate, municipal, nonprofit, and institutional customers and clients. ",0 36 74 89
"Further, the company, through its subsidiary, Cambria Thrift Consumer Discount Company, offers consumer finance.",46 86
"The company was formerly known as SUMMIT Bancorp, Inc. and changed its name to 1ST SUMMIT BANCORP of Johnstown, Inc. in 1996.",34 53 79 115
"1ST SUMMIT BANCORP of Johnstown, Inc. was founded in 1924 and is headquartered in Johnstown, Pennsylvania.",0 36 
"RM Investors, Inc. supplies fruits and vegetables in North America",0 17
"It specializes in apples, onions, potatoes, seasonal vegetables, consolidated citrus, and other produce transportation solutions. ",
"The company was formerly known as 20/20 Produce Sales, Inc. and changed its name to RM Investors, Inc. in March 2014.",34 58 84 101
"2050 Motors, Inc., a development stage company, intends to import, market, and sell electric automobiles in the United States, Puerto Rico, the United States Territories, and Peru. ",0 16
"22nd Century Group, Inc., a plant biotechnology company, provides technology that allows increasing or decreasing the level of nicotine and other nicotinic alkaloids in tobacco plants, and cannabinoids in hemp/cannabis plants through genetic engineering and plant breeding.",0 23
"The company has scientific collaborations with the University of Virginia and Anandia Laboratories, Inc. to develop proprietary hemp strains with less than 0.3% dry weight content of delta-9-tetrahydrocannabinol. ",78 103
"22nd Century Group, Inc. was founded in 1998 and is headquartered in Williamsville, New York.",0 23
"24/7 Kid Doc, Inc. provides pediatric services through video conference in the United States.",0 17
"24/7 Kid Doc, Inc. is based in Hickory, North Carolina.",0 17
24Holdings Inc. does not have significant operations.,0 14
"2U, Inc. operates as an education technology company in the United States, Hong Kong, South Africa, and the United Kingdom",0 7
"The company was formerly known as 2Tor Inc. and changed its name to 2U, Inc. in October 2012.",34 42 68 75
"2U, Inc. was founded in 2008 and is headquartered in Lanham, Maryland.",0 7
"30DC, Inc. provides digital media solutions",0 9
"3D Entertainment Holdings, Inc. operates as a service provider and integrator for the 3D stereoscopic and auto-stereoscopic media industry in the United States",0 30
"3D Eye Solutions, Inc. was incorporated in 2008 and is headquartered in Grapevine, Texas.",0 21
"3D MakerJet, Inc. develops, imports, and sells art 3D printers, scanners, and ancillary equipment in the United States",0 16
"3D MakerJet, Inc. was incorporated in 2014 and is based in Orlando, Florida.",0 16
"3D MakerJet, Inc. operates as a subsidiary of Market Milestones, Inc.",0 16 46 68
3D Pioneer Systems Inc. engages in 3D printing business.,0 22
The company was formerly known as Mobile Gaming International Corp. and changed its name to 3D Pioneer Systems Inc. in October 2013.,34 66 92 114
"3D Pioneer Systems Inc. was incorporated in 2008 and is based in Carson City, Nevada.",0 22
"3D Systems Corporation, through its subsidiaries, provides three-dimensional (3D) printing products and services worldwide.",0 22
"3DShopping.com doing business as O2 Essential Marketing Technologies, offers online services, including 3-dimensional Website creation and hosting. ",0 14
"3DShopping.com was formerly known as Pi Graphix, Inc. and it changed its name to 3DShopping.com in 1999.",0 14 37 52
"3DX Industries, Inc. manufactures and sells consumer and corporate products using an additive manufacturing method through 3D metal printing technology, and conventional precision manufacturing processes. ",0 19 
"The company was formerly known as Amarok Resources, Inc. and changed its name to 3DX Industries, Inc. in November 2013. ",34 55 81 100
"3DX Industries, Inc. was incorporated in 2008 and is based in Ferndale, Washington.",0 19
3M Company operates as a diversified technology company worldwide.,0 10
"3Pea International, Inc. provides prepaid card products and processing services under the PaySign brand name to corporations, government agencies, universities, and other organizations. ",0 23
"The company offers various services, including transaction processing, cardholder enrollment, value loading, cardholder account management, reporting, and customer service through PaySign, a proprietary card processing platform.",
"The company was formerly known as Paypad Inc. and changed its name to 3Pea International, Inc. in October 2006.",34 44 70 93
"3Pea International, Inc. was incorporated in 1995 and is based in Henderson, Nevada.",0 23
"420 Property Management, Inc. engages in real estate development and property management activities in the cannabis and hemp industry.",0 28
"The company was formerly known as Digagogo Ventures Corp. and changed its name to 420 Property Management, Inc. in October 2015.",34 56 82 110
"420 Property Management, Inc. is based in Carlsbad, California.",0 28
"4Cable TV International, Inc. provides specialty solutions to the cable television sector.",0 28
"4Cable TV International, Inc. was incorporated in 2007 and is based in Conway, South Carolina.",0 28
"5BARz International, Inc. designs, manufactures, and sells a line of cellular network infrastructure devices for use in the office, home, and mobile market places in India, Latin America, the United States, and Western Europe",0 24
"The company was formerly known as Bio-Stuff Inc. and changed its name to 5Barz International, Inc. in December 2010.",34 47 73 97
"5BARz International, Inc. was founded in 2008 and is headquartered in San Diego, California.",0 24
"6D Global Technologies, Inc. provides digital business solutions serving the digital marketing and technology needs of global organizations worldwide.",0 27
"6D Global Technologies, Inc. is headquartered in New York, New York.",0 27
"Cor Equity Holdings, Inc. provides corporate finance and strategic planning services.",0 24
"Cor Equity Holdings is based in St. Petersburg, Florida. ",0 19
